"方向","代碼","名稱","訂單價格","訂單數量","訂單金額","交易狀態","已成交@均價","下單時間","類型","期限","盤前競價","時段","觸發價","允許開倉","市場","幣種","訂單來源","成交數量","成交價格","成交金額","成交時間","市場","幣種","對手經紀","備註","佣金","平台使用費","交收費","印花稅","交易費","證監會徵費","財匯局徵費","綜合審計跟蹤監管費","交易活動費","證監會規費","合計費用"
"賣出","MU","美光科技","1208.00","2","2,416.00","全部成交","2@1208.00","2026/06/25 06:42:36 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1209.00","不允許","美股","USD","","2","1208.00","2,416.00","2026/06/25 09:45:41 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.05","2.06"
"買入","MU","美光科技","1235.50","2","2,471.00","全部成交","2@1235.50","2026/06/25 06:42:12 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","1235.50","2,471.00","2026/06/25 06:42:13 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","07709","南方兩倍做多海力士","市價","100","18,365.00","全部成交","100@183.65","2026/06/25 13:06:28 (香港)","止損市價單","撤單前有效","","","183.80","","港股","HKD","","100","183.65","18,365.00","2026/06/25 14:20:10 (香港)","港股","HKD","6825","","0","15","0.77","0","1.04","0.5","0.03","","","","17.34"
"買入","07709","南方兩倍做多海力士","184.85","100","18,485.00","全部成交","100@184.85","2026/06/25 13:05:46 (香港)","限價單","當日有效","允許","","","","港股","HKD","","100","184.85","18,485.00","2026/06/25 13:05:47 (香港)","港股","HKD","8440","","0","15","0.78","0","1.04","0.5","0.03","","","","17.35"
"賣出","MRVL","邁威爾科技","282.00","10","2,820.00","全部成交","10@283.3202","2026/06/25 01:00:06 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","283.50","不允許","美股","USD","","10","283.3202","2,833.20","2026/06/25 09:36:42 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","0.01","0.06","2.09"
"買入","MRVL","邁威爾科技","287.41","10","2,874.10","全部成交","10@287.41","2026/06/25 00:59:26 (美東)","限價單","當日有效","","全時段","","","美股","USD","","10","287.41","2,874.10","2026/06/25 00:59:26 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","","","2.02"
"買入","SPCX","SpaceX","154.93","8","1,239.44","全部成交","8@154.93","2026/06/25 00:51:14 (美東)","限價單","當日有效","","全時段","","","美股","USD","","8","154.93","1,239.44","2026/06/25 00:52:45 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"賣出","SOFI","SoFi Technologies","16.70","20","334.00","全部成交","20@16.905","2026/06/24 10:45:46 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","16.90","不允許","美股","USD","","20","16.905","338.10","2026/06/25 09:40:49 (美東)","美股","USD","","","0.99","1","0.06","","","","","0","0.01","0.01","2.07"
"買入","SOFI","SoFi Technologies","18.15","20","363.00","全部成交","20@18.14","2026/06/24 10:45:19 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","20","18.14","362.80","2026/06/24 10:45:19 (美東)","美股","USD","","","0.99","1","0.06","","","","","0","","","2.05"
"賣出","KXIAY","鎧俠ADR","市價","8","460.88","全部成交","8@57.61","2026/06/24 10:37:01 (美東)","市價單","當日有效","","盤中","","","美股","USD","","8","57.61","460.88","2026/06/24 10:37:01 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.01","2.03"
"買入","DRAM","Roundhill Memory ETF","70.13","10","701.30","全部成交","10@70.1026","2026/06/24 10:25:52 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","10","70.1026","701.03","2026/06/24 10:25:53 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","","","2.02"
"賣出","GLW","康寧","觸及市價","5","0.00","已撤單","0@0.00","2026/06/24 10:09:50 (美東)","止損市價單","當日有效","","盤中","204.00","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","GLW","康寧","市價","5","1,022.50","全部成交","5@204.5001","2026/06/24 10:09:20 (美東)","止損市價單","當日有效","","盤中","205.00","不允許","美股","USD","","5","204.5001","1,022.50","2026/06/24 10:09:38 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.02","2.04"
"賣出","GLW","康寧","市價","5","1,025.73","全部成交","5@205.145","2026/06/24 10:08:49 (美東)","止損市價單","當日有效","","盤中","205.00","不允許","美股","USD","","5","205.145","1,025.73","2026/06/24 10:09:38 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.02","2.04"
"買入","GLW","康寧","市價","5","1,022.40","全部成交","5@204.48","2026/06/24 10:00:29 (美東)","市價單","當日有效","","盤中","","","美股","USD","","5","204.48","1,022.40","2026/06/24 10:00:30 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"買入","GLW","康寧","市價","5","1,018.30","全部成交","5@203.6599","2026/06/24 09:59:55 (美東)","市價單","當日有效","","盤中","","","美股","USD","","5","203.6599","1,018.30","2026/06/24 09:59:55 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"賣出","GLW","康寧","市價","7","1,412.25","全部成交","7@201.75","2026/06/24 09:53:44 (美東)","止損市價單","當日有效","","盤中","202.00","允許","美股","USD","","7","201.75","1,412.25","2026/06/24 09:55:42 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","0.01","0.03","2.05"
"買入","GLW","康寧","196.19","3","588.57","全部成交","3@196.19","2026/06/24 09:46:23 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","3","196.19","588.57","2026/06/24 09:46:26 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","GLW","康寧","195.21","5","976.05","全部成交","5@195.135","2026/06/24 09:46:09 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","5","195.135","975.68","2026/06/24 09:46:10 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"買入","GLW","康寧","195.02","2","390.04","全部成交","2@195.02","2026/06/24 09:45:51 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","195.02","390.04","2026/06/24 09:45:56 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","SNDK","閃迪","2020.32","2","4,040.64","全部成交","2@2020.32","2026/06/24 09:35:54 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","2020.32","4,040.64","2026/06/24 09:35:54 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","07709","南方兩倍做多海力士","觸及市價","100","0.00","已撤單","0@0.00","2026/06/24 09:38:01 (香港)","觸及市價單(止盈)","當日有效","","","165.00","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","市價","100","15,335.00","全部成交","100@153.35","2026/06/24 09:36:45 (香港)","止損市價單","撤單前有效","","","153.40","","港股","HKD","","100","153.35","15,335.00","2026/06/24 09:41:09 (香港)","港股","HKD","2204","","0","15","0.64","0","0.87","0.41","0.02","","","","16.94"
"買入","07709","南方兩倍做多海力士","157.10","100","15,710.00","全部成交","100@157.10","2026/06/24 09:36:17 (香港)","限價單","當日有效","允許","","","","港股","HKD","","100","157.10","15,710.00","2026/06/24 09:36:23 (香港)","港股","HKD","2078","","0","15","0.66","0","0.89","0.42","0.02","","","","16.99"
"買入","AVGO","博通","386.76","2","773.52","全部成交","2@386.76","2026/06/23 10:26:44 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","386.76","773.52","2026/06/23 10:26:47 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","SPCX","SpaceX","155.38","10","1,553.80","全部成交","10@155.44","2026/06/23 10:08:07 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","155.39","不允許","美股","USD","","10","155.44","1,554.40","2026/06/29 10:55:23 (美東)","美股","USD","","","0.99","1","0.03","","","","","0","0.01","0.03","2.06"
"買入","SPCX","SpaceX","157.30","2","314.60","全部成交","2@157.199","2026/06/23 10:07:18 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","157.199","314.40","2026/06/23 10:07:18 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","KXIAY","KIOXIA HOLDINGS CORPORATION UNSPON ADR EACH REP 0.1 COM","55.00","8","440.00","已撤單","0@0.00","2026/06/23 10:05:22 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","55.80","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","KXIAY","KIOXIA HOLDINGS CORPORATION UNSPON ADR EACH REP 0.1 COM","57.97","8","463.76","全部成交","8@57.96","2026/06/23 10:02:08 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","8","57.96","463.68","2026/06/23 10:02:15 (美東)","美股","USD","","","0.99","1","0.02","","","","","0","","","2.01"
"買入","KXIAY","KIOXIA HOLDINGS CORPORATION UNSPON ADR EACH REP 0.1 COM","57.76","2","115.52","已撤單","0@0.00","2026/06/23 10:01:54 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","KXIAY","KIOXIA HOLDINGS CORPORATION UNSPON ADR EACH REP 0.1 COM","57.76","2","115.52","下單失敗","0@0.00","2026/06/23 10:01:11 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","KXIAY","KIOXIA HOLDINGS CORPORATION UNSPON ADR EACH REP 0.1 COM","55.63","2","111.26","下單失敗","0@0.00","2026/06/23 10:00:54 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","SNDK","閃迪","2003.83","2","4,007.66","全部成交","2@2003.64","2026/06/23 09:59:45 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","2003.64","4,007.28","2026/06/23 09:59:49 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","SNDK","閃迪","1938.00","4","7,752.00","全部成交","4@1938.00","2026/06/23 09:58:45 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1940.00","不允許","美股","USD","","1","1938.00","1,938.00","2026/06/24 09:41:40 (美東)","美股","USD","","","0.99","1","0","","","","","0","0.04","0.16","2.19"
