交易
平仓时间 (UTC+8),交易品种,开仓方向,建仓价,平仓价格,平仓量,净盈利 HKD,余额 HKD
07 7 月 2026 09:04:58.407,JPN225,卖出,69351.8,69216.3,0.2 手,131.09,15 592.06
07 7 月 2026 09:04:48.987,JPN225,卖出,69316.8,69208.8,0.2 手,104.48,15 460.97
07 7 月 2026 08:57:00.707,JPN225,买入,69423.8,69326.8,0.2 手,-93.85,15 356.49
07 7 月 2026 08:56:59.583,JPN225,买入,69413.8,69324.3,0.2 手,-86.59,15 450.34
07 7 月 2026 08:56:58.640,JPN225,买入,69423.8,69341.8,0.2 手,-79.34,15 536.93
07 7 月 2026 08:56:58.282,JPN225,买入,69423.8,69346.8,0.2 手,-74.50,15 616.27
07 7 月 2026 08:56:54.671,JPN225,买入,69478.8,69351.8,0.2 手,-122.87,15 690.77
07 7 月 2026 08:56:53.161,JPN225,买入,69478.8,69354.3,0.2 手,-120.45,15 813.64
07 7 月 2026 08:56:52.422,JPN225,买入,69481.3,69356.8,0.2 手,-120.45,15 934.09
07 7 月 2026 08:48:40.253,JPN225,卖出,69291.8,69363.8,0.2 手,-69.65,16 054.54
07 7 月 2026 08:48:39.049,JPN225,卖出,69321.8,69358.8,0.2 手,-35.79,16 124.19
07 7 月 2026 08:48:38.428,JPN225,卖出,69311.8,69358.8,0.2 手,-45.46,16 159.98
06 7 月 2026 22:37:34.336,US500,买入,7528.3,7524.6,0.1 手,-2.90,16 204.97
06 7 月 2026 22:24:24.595,US500,买入,7518.3,7525.9,1 手,59.61,16 207.87
06 7 月 2026 22:24:22.945,US500,买入,7518.5,7526.1,1 手,59.61,16 148.26
06 7 月 2026 22:24:22.924,US500,买入,7519.0,7526.1,3 手,167.06,16 088.65
06 7 月 2026 22:24:22.568,US500,买入,7513.3,7525.9,1 手,98.82,15 921.59
06 7 月 2026 22:24:22.550,US500,买入,7518.8,7525.9,3 手,167.06,15 822.77
06 7 月 2026 22:24:22.515,US500,买入,7518.8,7525.9,3 手,167.06,15 655.71
06 7 月 2026 22:24:22.385,US500,买入,7519.0,7526.1,3 手,167.06,15 488.65
06 7 月 2026 22:24:20.968,US500,买入,7519.0,7526.4,3 手,174.12,15 321.59
06 7 月 2026 22:24:20.950,US500,买入,7518.8,7526.4,3 手,178.82,15 147.47
06 7 月 2026 22:24:20.948,US500,买入,7515.0,7526.4,1 手,89.41,14 968.65
06 7 月 2026 22:24:12.525,US500,买入,7518.8,7526.4,3 手,178.82,14 879.24
06 7 月 2026 22:24:11.763,US500,买入,7518.8,7526.6,3 手,183.53,14 700.42
06 7 月 2026 22:24:11.714,US500,买入,7519.0,7526.6,3 手,178.82,14 516.89
06 7 月 2026 22:01:35.052,US500,卖出,7510.4,7518.8,3 手,-197.63,14 338.07
06 7 月 2026 22:01:35.032,US500,卖出,7509.6,7518.8,3 手,-216.45,14 535.70
06 7 月 2026 22:01:35.030,US500,卖出,7510.8,7518.8,3 手,-188.22,14 752.15
06 7 月 2026 22:01:34.498,US500,卖出,7512.0,7518.3,3 手,-148.22,14 940.37
06 7 月 2026 21:52:55.804,HK50,买入,23434.8,23436.1,5 手,6.50,15 088.59
06 7 月 2026 21:52:55.795,HK50,买入,23434.8,23436.1,5 手,6.50,15 082.09
06 7 月 2026 21:52:21.466,US500,买入,7520.0,7520.4,0.5 手,1.57,15 075.59
06 7 月 2026 21:52:20.295,US500,买入,7517.7,7520.1,1 手,18.82,15 074.02
06 7 月 2026 21:52:19.451,US500,买入,7519.5,7519.6,1 手,0.78,15 055.20
06 7 月 2026 21:52:18.535,US500,买入,7515.9,7519.6,3 手,87.05,15 054.42
06 7 月 2026 21:52:17.362,US500,买入,7514.9,7519.9,3 手,117.64,14 967.37
06 7 月 2026 21:52:13.781,US500,买入,7514.9,7520.6,3 手,134.11,14 849.73
06 7 月 2026 21:52:13.057,US500,买入,7514.9,7519.8,3 手,115.29,14 715.62
06 7 月 2026 21:44:55.889,US500,卖出,7508.1,7514.9,3 手,-159.98,14 600.33
06 7 月 2026 21:44:55.864,US500,卖出,7508.4,7514.9,3 手,-152.92,14 760.31
06 7 月 2026 21:44:36.258,HK50,卖出,23412.8,23434.8,5 手,-110.00,14 913.23
